image_url,scientific_name,common_name
https://inaturalist-open-data.s3.amazonaws.com/photos/3513631/medium.jpg,Gloeoporus dichrous,Глеопорус двухцветный
https://inaturalist-open-data.s3.amazonaws.com/photos/4782101/medium.jpeg,Cortinarius caperatus,Колпак кольчатый
https://inaturalist-open-data.s3.amazonaws.com/photos/4782102/medium.jpeg,Cantharellus cibarius,Лисичка обыкновенная
https://inaturalist-open-data.s3.amazonaws.com/photos/5040948/medium.jpg,Fomitopsis pinicola,Трутовик окаймлённый
https://inaturalist-open-data.s3.amazonaws.com/photos/5040969/medium.jpg,Fomitopsis betulina,Трутовик берёзовый
https://inaturalist-open-data.s3.amazonaws.com/photos/5051788/medium.jpg,Vulpicida pinastri,Вульпицида сосновая
https://inaturalist-open-data.s3.amazonaws.com/photos/5051848/medium.jpg,Platismatia glauca,Платисматия сизая
https://inaturalist-open-data.s3.amazonaws.com/photos/5146622/medium.jpg,Ptychogaster albus,Постия складчатая
https://inaturalist-open-data.s3.amazonaws.com/photos/5542934/medium.jpg,Craterellus cornucopioides,Вороночник рожковидный
https://inaturalist-open-data.s3.amazonaws.com/photos/5571227/medium.jpg,Cladonia stellaris,Кладония звездчатая
https://inaturalist-open-data.s3.amazonaws.com/photos/5571313/medium.jpg,Fomitopsis pinicola,Трутовик окаймлённый
https://inaturalist-open-data.s3.amazonaws.com/photos/8071975/medium.jpg,Cladonia stellaris,Кладония звездчатая
https://inaturalist-open-data.s3.amazonaws.com/photos/8962123/medium.jpeg,Amanita muscaria muscaria,
https://static.inaturalist.org/photos/10045063/medium.jpeg,Fomitopsis quercina,Дубовая губка
https://static.inaturalist.org/photos/10045070/medium.jpeg,Artomyces pyxidatus,Клавикорона крыночковидная
https://inaturalist-open-data.s3.amazonaws.com/photos/12207542/medium.jpg,Cetraria islandica,Цетрария исландская
https://inaturalist-open-data.s3.amazonaws.com/photos/13307220/medium.jpeg,Amanita muscaria,Мухомор красный
https://static.inaturalist.org/photos/15072862/medium.jpeg,Fomitiporia robusta,Трутовик ложный дубовый
https://static.inaturalist.org/photos/15998891/medium.jpg,Tapinella atrotomentosa,Свинушка толстая
https://inaturalist-open-data.s3.amazonaws.com/photos/16573254/medium.jpg,Amanita rubescens,Мухомор серо-розовый
https://static.inaturalist.org/photos/16974947/medium.jpg,Sarcoscypha austriaca,Саркосцифа австрийская
https://inaturalist-open-data.s3.amazonaws.com/photos/17005011/medium.jpg,Guepinia helvelloides,Гепиния гельвеллоидная
https://inaturalist-open-data.s3.amazonaws.com/photos/17005047/medium.jpg,Aleuria aurantia,Алеврия оранжевая
https://inaturalist-open-data.s3.amazonaws.com/photos/17005121/medium.jpg,Volvopluteus gloiocephalus,Вольвоплютей слизистоголовый
https://inaturalist-open-data.s3.amazonaws.com/photos/17007372/medium.jpg,Ascocoryne cylichnium,Аскокорине бокаловидная
https://inaturalist-open-data.s3.amazonaws.com/photos/17011555/medium.jpg,Agaricus augustus,Шампиньон августовский
https://inaturalist-open-data.s3.amazonaws.com/photos/17161673/medium.jpg,Amanita citrina,Мухомор поганковидный
https://inaturalist-open-data.s3.amazonaws.com/photos/17161676/medium.jpg,Ciboria batschiana,
https://inaturalist-open-data.s3.amazonaws.com/photos/17161677/medium.jpg,Crucibulum laeve,Бокальчик гладкий
https://inaturalist-open-data.s3.amazonaws.com/photos/17179783/medium.jpeg,Phellinus tremulae,Трутовик ложный осиновый
https://inaturalist-open-data.s3.amazonaws.com/photos/17179795/medium.jpeg,Chrysothrix,Хризотрикс
https://inaturalist-open-data.s3.amazonaws.com/photos/17179806/medium.jpeg,Jackrogersella multiformis,Джекроджерселла многообразная
https://inaturalist-open-data.s3.amazonaws.com/photos/17264418/medium.jpg,Sarcomyxa serotina,Вёшенка осенняя
https://inaturalist-open-data.s3.amazonaws.com/photos/17396782/medium.jpeg,Helvella costifera,
https://inaturalist-open-data.s3.amazonaws.com/photos/17443135/medium.jpg,Lachnella villosa,
https://inaturalist-open-data.s3.amazonaws.com/photos/17913020/medium.jpg,Xanthoria parietina,Ксантория настенная
https://static.inaturalist.org/photos/18271919/medium.jpeg,Distantes,Сморчок высокий
https://static.inaturalist.org/photos/18272119/medium.jpeg,Distantes,Сморчок высокий
https://static.inaturalist.org/photos/18279889/medium.jpg,Gyromitra esculenta,Строчок обыкновенный
https://static.inaturalist.org/photos/18280854/medium.jpeg,Gyromitra esculenta,Строчок обыкновенный
https://static.inaturalist.org/photos/18656083/medium.jpg,Laetiporus sulphureus,Трутовик серно-жёлтый
https://inaturalist-open-data.s3.amazonaws.com/photos/19225330/medium.jpeg,Laetiporus sulphureus,Трутовик серно-жёлтый
https://static.inaturalist.org/photos/19875087/medium.jpeg,Fomitopsis pinicola,Трутовик окаймлённый
https://static.inaturalist.org/photos/19917200/medium.jpeg,Cerioporus squamosus,Трутовик чешуйчатый
https://inaturalist-open-data.s3.amazonaws.com/photos/20023558/medium.jpeg,Diplomitoporus flavescens,Дипломитопорус желтеющий
https://inaturalist-open-data.s3.amazonaws.com/photos/20023598/medium.jpeg,Diplomitoporus flavescens,Дипломитопорус желтеющий
https://inaturalist-open-data.s3.amazonaws.com/photos/20026184/medium.jpeg,Agrocybe molesta,Полёвка неприятная
https://inaturalist-open-data.s3.amazonaws.com/photos/20026307/medium.jpeg,Amanita excelsa,Мухомор высокий
https://inaturalist-open-data.s3.amazonaws.com/photos/20026945/medium.jpeg,Hericium coralloides,Ежовик коралловидный
https://inaturalist-open-data.s3.amazonaws.com/photos/20027031/medium.jpeg,Collybia personata,Рядовка лиловоногая
https://inaturalist-open-data.s3.amazonaws.com/photos/20027132/medium.jpeg,Kuehneromyces mutabilis,Опёнок летний
https://inaturalist-open-data.s3.amazonaws.com/photos/20027275/medium.jpeg,Laccaria amethystina,Лаковица аметистовая
https://inaturalist-open-data.s3.amazonaws.com/photos/20027771/medium.jpeg,Leccinum albostipitatum,Подосиновик белоножковый
https://inaturalist-open-data.s3.amazonaws.com/photos/20028200/medium.jpeg,Suillellus luridus,Дубовик оливково-бурый
https://inaturalist-open-data.s3.amazonaws.com/photos/20028314/medium.jpeg,Gyromitra sphaerospora,Строчок круглоспоровый
https://inaturalist-open-data.s3.amazonaws.com/photos/20028761/medium.jpeg,Macrotyphula fistulosa,Рогатик дудчатый
https://inaturalist-open-data.s3.amazonaws.com/photos/20029336/medium.jpeg,Phyllotopsis nidulans,Филлотопсис гнездовидный
https://inaturalist-open-data.s3.amazonaws.com/photos/20029430/medium.jpeg,Baeospora myriadophylla,
https://inaturalist-open-data.s3.amazonaws.com/photos/20029466/medium.jpeg,Baeospora myriadophylla,
https://inaturalist-open-data.s3.amazonaws.com/photos/20029580/medium.jpeg,Baeospora myriadophylla,
